"Reference","Value","Footprint","Qty","LCSC Part #"
"C1,C3,C6,C7,C12,C13,C15","10uF/25V(20%)","-- mixed values --","7","-- mixed values --"
"C2,C4,C5,C8,C10,C11,C14,C16,C17,C18","0.1uF/50V(10%)","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","10","C49678"
"C9","1uF/16V(10%)","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","C28323"
"D1,D2,D3,D4,D5,D6","LESD8D3.3CAT5G","Diode_SMD:D_SOD-882D","6","C5199186"
"D7,D13","LED","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2","-- mixed values --"
"D8,D9,D10","LESD5D5.0CT1G","Diode_SMD:D_SOD-523","3","C383211"
"D11","1N5819WS","Diode_SMD:D_SOD-323","1","C191023"
"J1","Micro_SD_Card_Det2","BatteryCoFootLib:Hanbo TF-012D","1","C2874207"
"J2","LCD_I2C","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"J3","USB_C_Receptacle_USB2.0_16P","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","1"," C165948"
"J4,J5,J6,J7,J8,J9,J12,J13,J16,J17,J18","Conn_01x01","Connector_Wire:SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm","11",""
"J10,J11","RJ45_LED_Shielded","Connector_RJ:RJ45_Amphenol_RJHSE538X","2","C386757"
"J14,J15","Conn_02x05_Counter_Clockwise","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","2",""
"J19,J20,J21","Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","3",""
"J22","I2C_BUS0","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1",""
"Q1","IRLZ44SPbF","Package_TO_SOT_SMD:TO-263-2","1",""
"Q3","AO3400A","Package_TO_SOT_SMD:SOT-23","1","C20917"
"Q4,Q5","AON6411","Package_DFN_QFN:AO_DFN-8-1EP_5.55x5.2mm_P1.27mm_EP4.12x4.6mm","2","C81007"
"R2,R40","5m","Resistor_SMD:R_2512_6332Metric_Pad1.40x3.35mm_HandSolder","2","C3152738"
"R3,R20","100 (1%)","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2"," C17408"
"R4,R7,R43,R47","330 (1%)","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4","C17630"
"R5,R6,R8,R9,R10,R11,R12,R13,R17,R18,R19,R21,R37,R39,R42,R45","10K (1%)","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","16","C17414"
"R14,R41","5.1K (1%)","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","C27834"
"R15,R16,R35,R36,R46,R48","4.7K (1%)","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6","C17673"
"R38","1.5k (1%)","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1"," C4310"
"R44","120 (1%)","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","C17437"
"SW1,SW2,SW3","SW_Push","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A","3","C318884"
"U1","ESP32-S3-WROOM-1","PCM_Espressif:ESP32-S3-WROOM-1","1","C2913205"
"U4","INA228","Package_SO:VSSOP-10_3x3mm_P0.5mm","1","C2887910"
"U6","MCP4728","Package_SO:MSOP-10_3x3mm_P0.5mm","1","C108207"
"U7","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1","C6186"
"U8","SP3485EN","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","C8963"
"U9","L78M05ABDT-TR","Package_TO_SOT_SMD:TO-252-2","1","C58069"
