Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C13, C3, C6, C7",0805,6,10uF/25V(20%),C15850
"C10, C11, C14, C16, C17, C18, C2, C4, C5, C8",0805,10,0.1uF/50V(10%),C49678
C15,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,1,10uF/25V(20%),C7171
C9,0805,1,1uF/16V(10%),C28323
"D1, D2, D3, D4, D5, D6",D_SOD-882D,6,LESD8D3.3CAT5G,C5199186
"D10, D8, D9",D_SOD-523,3,LESD5D5.0CT1G,C383211
D11,D_SOD-323,1,1N5819WS,C191023
D13,0805,1,LED,C2297
D7,0805,1,LED,C84256
J1,Hanbo TF-012D,1,Micro_SD_Card_Det2,C2874207
"J12, J13, J16, J17, J18, J4, J5, J6, J7, J8, J9",SolderWire-2.5sqmm_1x01_D2.4mm_OD4.4mm,11,Conn_01x01,
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P, C165948
Q3,SOT-23,1,AO3400A,C20917
"Q4, Q5",AO_DFN-8-1EP_5.55x5.2mm_P1.27mm_EP4.12x4.6mm,2,AON6411,C81007
"R10, R11, R12, R13, R17, R18, R19, R21, R37, R39, R42, R45, R5, R6, R8, R9",0805,16,10K (1%),C17414
"R14, R41",0805,2,5.1K (1%),C27834
"R15, R16, R35, R36",0805,4,4.7K (1%),C17673
"R2, R40",2512,2,5m,C3152738
"R20, R3",0805,2,100 (1%), C17408
R38,0805,1,1.5k (1%), C4310
"R4, R43, R47, R7",0805,4,330 (1%),C17630
R44,0805,1,120 (1%),C17437
"SW1, SW2, SW3",SW_Push_1P1T_XKB_TS-1187A,3,SW_Push,C318884
U4,VSSOP-10_3x3mm_P0.5mm,1,INA228,C2887910
U6,MSOP-10_3x3mm_P0.5mm,1,MCP4728,C108207
U7,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U8,SOIC-8_3.9x4.9mm_P1.27mm,1,SP3485EN,C8963
U9,TO-252-2,1,L78M05ABDT-TR,C58069
